,latitude_tVar,median_house_value_tVar,values
91,9,1776,1.0
92,10,9,0.125
93,10,41,0.024
94,10,80,0.2
95,10,91,0.5
96,10,101,0.25
97,10,126,0.3333333333333333
98,10,185,0.5
99,10,340,0.09523809523809523
100,10,399,1.0
101,10,535,0.09090909090909091
102,10,885,0.3333333333333333
103,10,992,0.5
104,10,1078,0.5
105,10,1149,1.0
106,10,1312,1.0
107,10,1357,1.0
108,10,1478,1.0
109,10,1524,1.0
110,10,1551,1.0
111,10,1641,1.0
112,10,1685,1.0
113,10,1757,1.0
114,11,10,0.5
115,12,11,0.5
116,12,58,0.5
117,12,828,0.25
118,12,1166,1.0
119,12,1210,0.5
120,12,1540,1.0
121,13,12,0.5
122,14,13,1.0
123,14,27,0.07142857142857142
124,14,112,0.5
125,14,202,0.25
126,14,251,0.5
127,14,314,0.3333333333333333
128,14,325,0.25
129,14,739,0.5
130,14,1100,1.0
131,14,1108,1.0
132,14,1123,1.0
133,14,1179,1.0
134,14,1344,1.0
135,14,1435,1.0
136,14,1495,1.0
137,14,1506,1.0
138,14,1514,1.0
139,14,1723,1.0
140,15,14,1.0
141,15,15,0.2
142,15,44,0.25
143,15,186,1.0
144,15,224,0.3333333333333333
145,15,252,0.3333333333333333
146,15,340,0.047619047619047616
147,15,422,1.0
148,15,522,1.0
149,15,676,0.5
150,15,724,1.0
151,15,1156,1.0
152,15,1242,1.0
153,15,1602,1.0
154,16,15,0.2
155,16,32,0.5
156,16,630,1.0
157,16,725,0.2
158,16,1027,1.0
159,16,1592,1.0
160,16,1742,1.0
161,17,16,0.043478260869565216
162,17,193,0.058823529411764705
163,17,760,0.5
164,17,1062,0.16666666666666666
165,17,1664,0.5
166,18,17,0.5
167,18,256,0.5
168,18,302,0.5
169,18,387,1.0
170,18,448,1.0
171,18,531,0.5
172,18,546,0.5
173,18,776,0.3333333333333333
174,18,865,1.0
175,18,963,0.5
176,18,1561,1.0
177,18,1616,0.5
178,19,18,0.5
179,19,81,0.5
180,19,222,0.25
181,19,314,0.3333333333333333
182,19,321,0.5
183,19,413,1.0
184,19,429,0.5
185,19,490,0.3333333333333333
186,19,551,0.2
187,19,654,0.3333333333333333
188,19,767,0.5
189,19,956,0.5
190,19,1534,0.5
191,19,1748,1.0
192,20,19,0.5
193,20,96,0.2
194,20,180,0.3333333333333333
195,20,346,0.3333333333333333
196,20,482,0.5
197,20,729,1.0
198,20,814,1.0
199,20,826,0.3333333333333333
200,20,949,1.0
201,20,1103,1.0
202,20,1197,0.3333333333333333
203,20,1209,0.5
204,20,1354,1.0
205,20,1397,0.5
206,20,1656,1.0
207,21,20,1.0
208,21,619,0.5
209,21,773,0.5
210,21,863,0.3333333333333333
211,21,1060,1.0
212,21,1264,1.0
213,22,21,1.0
214,22,27,0.07142857142857142
215,22,41,0.048
216,22,52,0.07692307692307693
217,22,111,0.5
218,22,121,0.2
219,22,143,0.2
220,22,168,0.5
221,22,340,0.047619047619047616
222,22,627,0.5
223,22,671,0.3333333333333333
224,22,735,0.5
225,22,801,1.0
226,22,835,0.14285714285714285
227,22,1005,0.5
228,22,1024,0.5
229,22,1053,0.5
230,22,1056,1.0
231,22,1099,0.3333333333333333
232,22,1182,1.0
233,22,1250,0.5
234,22,1260,0.25
235,22,1419,1.0
236,22,1427,1.0
237,22,1553,1.0
238,22,1651,0.5
239,23,9,0.125
240,23,22,0.3333333333333333
241,23,40,0.09090909090909091
242,23,41,0.032
243,23,95,0.5
244,23,130,0.5
245,23,713,0.5
246,23,884,0.3333333333333333
247,23,915,0.09090909090909091
248,23,991,0.25
249,23,1006,0.5
250,23,1428,1.0
251,24,23,0.5
252,24,1093,1.0
253,25,24,1.0
254,25,92,0.25
255,25,127,0.25
256,25,211,0.5
257,25,334,1.0
258,25,380,1.0
259,25,429,0.5
260,25,438,0.3333333333333333
261,25,541,1.0
262,25,776,0.3333333333333333
263,25,789,1.0
264,25,854,1.0
265,25,980,1.0
266,25,985,0.3333333333333333
267,25,1023,0.5
268,25,1282,1.0
269,25,1333,1.0
270,25,1414,1.0
271,25,1449,1.0
272,25,1523,1.0
273,25,1619,1.0
274,26,18,0.5
275,26,25,0.14285714285714285
276,26,41,0.016
277,26,193,0.058823529411764705
278,26,321,0.5
279,26,356,0.5
280,26,379,0.3333333333333333
281,26,409,0.5
282,26,433,0.3333333333333333
283,26,463,0.5
284,26,689,1.0
285,26,747,1.0
286,26,918,1.0
287,26,924,1.0
288,26,1129,0.3333333333333333
289,26,1268,1.0
290,26,1389,1.0
291,26,1431,1.0
292,26,1715,1.0
293,27,26,1.0
294,27,40,0.09090909090909091
295,27,97,1.0
296,27,134,0.1111111111111111
297,27,212,0.07692307692307693
298,27,447,0.3333333333333333
299,27,604,0.5
300,27,642,0.5
301,27,778,0.3333333333333333
302,27,985,0.3333333333333333
303,27,1098,1.0
304,27,1152,0.5
305,27,1185,0.3333333333333333
306,27,1244,1.0
307,27,1339,1.0
308,27,1353,0.5
309,27,1388,1.0
310,27,1407,1.0
311,27,1580,1.0
312,27,1629,1.0
313,27,1679,1.0
314,28,28,0.3333333333333333
315,28,51,0.2
316,28,52,0.07692307692307693
317,28,108,0.25
318,28,199,0.16666666666666666
319,28,200,0.5
320,28,221,0.5
321,28,224,0.3333333333333333
322,28,379,0.3333333333333333
323,28,393,0.5
324,28,419,0.5
325,28,420,1.0
326,28,562,1.0
327,28,636,0.5
328,28,660,0.5
329,28,682,1.0
330,28,822,0.5
331,28,847,1.0
332,28,914,0.4
333,28,916,1.0
334,28,925,0.3333333333333333
335,28,1122,0.5
336,28,1211,0.3333333333333333
337,28,1326,0.5
338,29,15,0.2
339,29,30,0.5
340,29,56,0.3333333333333333
341,29,63,0.5
342,29,103,1.0
343,29,123,1.0
344,29,127,0.25
345,29,147,0.3333333333333333
346,29,151,0.3333333333333333
347,29,180,0.3333333333333333
348,29,195,0.4
349,29,275,1.0
350,29,375,0.5
351,29,493,0.5
352,29,570,0.16666666666666666
353,29,669,0.5
354,29,738,1.0
355,29,804,0.3333333333333333
356,29,863,0.3333333333333333
357,29,1195,0.5
358,29,1309,1.0
359,29,1325,1.0
360,29,1446,0.3333333333333333
361,29,1459,1.0
362,29,1519,1.0
363,29,1587,1.0
364,29,1624,1.0
365,29,1668,1.0
366,29,1767,1.0
367,30,31,1.0
368,30,926,0.5
369,31,32,0.5
370,32,33,0.5
371,32,46,0.3333333333333333
372,32,72,0.5
373,32,127,0.25
374,32,136,1.0
375,32,139,0.08333333333333333
376,32,151,0.3333333333333333
377,32,250,0.3333333333333333
378,32,257,1.0
379,32,262,0.6666666666666666
380,32,324,0.25
381,32,364,0.25
382,32,396,0.5
383,32,457,1.0
384,32,559,0.5
385,32,679,0.5
386,32,746,0.25
387,32,880,0.5
388,32,902,0.25
389,32,998,0.2
390,32,1192,0.5
391,32,1465,1.0
392,32,1549,1.0
393,33,34,1.0
394,33,52,0.07692307692307693
395,33,61,1.0
396,33,109,0.3333333333333333
397,33,139,0.16666666666666666
398,33,205,0.25
399,33,216,0.5
400,33,217,1.0
401,33,330,0.3333333333333333
402,33,439,0.5
403,33,561,0.5
404,33,594,0.07692307692307693
405,33,597,0.5
406,33,640,0.25
407,33,661,1.0
408,33,806,1.0
409,33,878,0.5
410,33,947,0.5
411,33,1065,0.3333333333333333
412,33,1251,1.0
413,33,1496,0.3333333333333333
414,33,1730,1.0
415,34,35,0.3333333333333333
416,34,67,0.3333333333333333
417,34,93,0.125
418,34,139,0.08333333333333333
419,34,232,0.25
420,34,261,1.0
421,34,310,0.5
422,34,315,0.5
423,34,405,1.0
424,34,571,1.0
425,34,640,0.25
426,34,742,0.25
427,34,1003,0.3333333333333333
428,34,1089,1.0
429,34,1350,0.2
430,34,1381,1.0
431,34,1409,1.0
432,34,1439,0.5
433,34,1531,1.0
434,35,9,0.125
435,35,36,0.3333333333333333
436,35,63,0.5
437,35,66,0.5
438,35,93,0.125
439,35,112,0.5
440,35,347,0.5
441,35,353,1.0
442,35,477,0.3333333333333333
443,35,485,0.5
444,35,626,0.3333333333333333
445,35,650,0.5
446,35,757,1.0
447,35,874,1.0
448,35,969,0.3333333333333333
449,35,1109,0.5
450,35,1209,0.5
451,35,1260,0.25
452,35,1361,1.0
453,35,1458,1.0
454,35,1501,0.5
455,35,1513,1.0
456,35,1635,1.0
457,35,1680,1.0
458,35,1696,1.0
459,36,9,0.125
460,36,37,1.0
461,36,48,0.16666666666666666
462,36,51,0.2
463,36,54,0.5
464,36,90,0.14285714285714285
465,36,115,0.2
466,36,169,0.3333333333333333
467,36,175,0.3333333333333333
468,36,202,0.25
469,36,203,0.5
470,36,263,1.0
471,36,379,0.3333333333333333
472,36,530,0.3333333333333333
473,36,596,0.5
474,36,695,1.0
475,36,771,0.5
476,36,796,0.3333333333333333
477,36,885,0.3333333333333333
478,36,903,1.0
479,36,969,0.3333333333333333
480,36,998,0.2
481,36,1019,1.0
482,36,1168,1.0
483,36,1263,0.3333333333333333
484,36,1338,1.0
485,36,1385,0.5
486,36,1609,0.5
487,36,1653,1.0
488,36,1778,1.0
489,37,38,1.0
490,37,40,0.09090909090909091
491,37,295,0.3333333333333333
492,37,389,0.3333333333333333
493,37,403,1.0
494,37,427,0.5
495,37,717,0.5
496,37,731,0.5
497,37,897,0.5
498,37,1207,1.0
499,37,1610,0.5
500,38,39,0.3333333333333333
501,39,16,0.043478260869565216
502,39,40,0.09090909090909091
503,39,156,0.5
504,39,304,0.125
505,39,430,0.5
506,39,809,0.25
507,39,1439,0.5
508,40,41,0.04
509,40,52,0.07692307692307693
510,40,84,0.5
511,40,220,0.3333333333333333
512,40,276,0.2
513,40,329,1.0
514,40,384,0.5
515,40,402,1.0
516,40,410,0.5
517,40,490,0.3333333333333333
518,40,558,0.25
519,40,855,1.0
520,40,1039,0.5
521,40,1124,1.0
522,40,1327,1.0
523,40,1375,1.0
524,40,1384,1.0
525,40,1544,1.0
526,40,1557,0.5
527,41,41,0.024
528,41,42,1.0
529,41,52,0.07692307692307693
530,41,53,1.0
531,41,137,0.2
532,41,179,0.25
533,41,348,0.5
534,41,400,0.3333333333333333
535,41,404,0.5
536,41,433,0.3333333333333333
537,41,495,1.0
538,41,521,0.5
539,41,535,0.09090909090909091
540,41,536,1.0
541,41,581,1.0
542,41,588,0.25
543,41,625,1.0
544,41,663,0.5
545,41,798,0.3333333333333333
546,41,905,0.5
547,41,915,0.09090909090909091
548,41,1049,0.5
549,41,1408,1.0
550,41,1452,1.0
551,41,1532,0.5
552,41,1542,0.5
553,41,1556,1.0
554,41,1578,1.0
555,41,1596,1.0
556,42,41,0.04
557,42,43,0.5
558,42,590,1.0
559,42,711,0.5
560,42,763,0.5
561,42,821,0.25
562,42,829,1.0
563,42,898,0.5
564,42,972,1.0
565,42,1160,1.0
566,42,1352,1.0
567,42,1605,0.5
568,42,1769,1.0
569,43,44,0.25
570,43,606,1.0
571,43,1215,1.0
572,44,45,0.25
573,44,474,1.0
574,44,933,1.0
575,45,47,0.3333333333333333
576,45,134,0.1111111111111111
577,45,143,0.2
578,45,644,0.5
579,45,793,1.0
580,45,991,0.25
581,45,1012,0.5
582,45,1125,1.0
583,45,1212,0.3333333333333333
584,45,1392,1.0
585,46,49,1.0
586,46,92,0.25
587,46,239,0.3333333333333333
588,46,491,1.0
589,46,839,0.5
590,46,996,1.0
591,46,1024,0.5
592,46,1246,0.5
593,46,1391,1.0
594,47,50,0.3333333333333333
595,48,16,0.08695652173913043
596,48,41,0.024
597,48,51,0.2
598,48,126,0.3333333333333333
599,48,193,0.058823529411764705
600,48,322,0.3333333333333333
601,48,340,0.047619047619047616
602,48,526,0.3333333333333333
603,48,591,0.3333333333333333
604,48,991,0.25
605,48,1001,1.0
606,48,1120,0.25
607,48,1461,1.0
608,49,41,0.008
609,49,45,0.25
610,49,52,0.07692307692307693
611,49,170,0.3333333333333333
612,49,244,0.5
613,49,247,0.5
614,49,309,0.3333333333333333
615,49,511,0.2
616,49,621,0.25
617,49,677,1.0
618,49,690,0.5
619,49,722,0.5
620,49,742,0.25
621,49,843,1.0
622,49,914,0.2
623,49,969,0.3333333333333333
624,49,1038,1.0
625,49,1143,1.0
626,49,1411,1.0
627,49,1481,1.0
628,49,1622,1.0
629,49,1771,1.0
630,50,55,0.5
631,51,25,0.14285714285714285
632,51,41,0.008
633,51,57,0.3333333333333333
634,51,69,1.0
635,51,238,1.0
636,51,248,0.3333333333333333
637,51,249,0.125
638,51,417,1.0
639,51,1171,1.0
640,51,1212,0.3333333333333333
641,51,1425,1.0
642,51,1520,1.0
643,52,41,0.016
644,52,59,1.0
645,52,278,0.5
646,52,730,1.0
647,52,987,1.0
648,52,1159,1.0
649,52,1360,1.0
650,52,1560,1.0
651,53,60,0.5
652,53,109,0.3333333333333333
653,53,1535,1.0
654,54,62,1.0
655,55,64,1.0
656,55,303,0.5
657,55,588,0.25
658,55,1009,1.0
659,55,1298,0.3333333333333333
660,55,1717,0.5
661,55,1729,1.0
662,56,65,0.5
663,56,146,0.3333333333333333
664,56,294,1.0
665,56,533,0.5
666,56,617,0.3333333333333333
667,56,746,0.25
668,56,885,0.3333333333333333
669,56,915,0.09090909090909091
670,56,1127,1.0
671,56,1609,0.5
672,56,1669,1.0
673,57,68,0.3333333333333333
674,57,73,0.3333333333333333
675,57,197,0.2
676,57,444,0.5
677,57,471,1.0
678,57,530,0.3333333333333333
679,57,686,1.0
680,57,1029,1.0
681,57,1070,0.5
682,57,1092,1.0
683,57,1117,0.5
684,57,1256,1.0
685,57,1440,1.0
686,57,1522,0.5
687,57,1659,0.5
688,57,1782,1.0
689,58,9,0.125
690,58,41,0.016
691,58,134,0.1111111111111111
692,58,160,0.3333333333333333
693,58,161,0.25
694,58,167,0.3333333333333333
695,58,193,0.058823529411764705
696,58,207,0.5
697,58,237,0.5
698,58,260,0.5
699,58,349,1.0
700,58,424,0.3333333333333333
701,58,461,0.5
702,58,515,0.3333333333333333
703,58,626,0.3333333333333333
704,58,719,1.0
705,58,739,0.5
706,58,870,1.0
707,58,927,1.0
708,58,1007,1.0
709,58,1017,1.0
710,58,1355,1.0
711,58,1451,1.0
712,58,1650,1.0
713,58,1717,0.5
714,59,41,0.008
715,59,70,1.0
716,59,121,0.2
717,59,124,1.0
718,59,331,0.3333333333333333
719,59,791,1.0
720,59,938,1.0
721,60,71,0.25
722,60,434,1.0
723,61,72,0.5
724,61,299,1.0
725,62,41,0.008
726,62,73,0.3333333333333333
727,62,78,0.3333333333333333
728,62,206,1.0
729,62,325,0.25
730,62,531,0.5
731,62,713,0.5
732,62,761,0.5
733,62,858,1.0
734,62,1104,0.3333333333333333
735,62,1243,1.0
736,62,1516,0.5
737,63,60,0.5
738,63,74,1.0
739,63,222,0.25
740,63,265,0.5
741,63,316,0.25
742,63,332,1.0
743,63,345,1.0
744,63,703,1.0
745,63,922,0.5
746,63,962,1.0
747,63,974,0.3333333333333333
748,63,1218,0.5
749,63,1249,1.0
750,63,1277,1.0
751,63,1387,1.0
752,63,1445,1.0
753,63,1593,1.0
754,63,1649,1.0
755,64,41,0.016
756,64,58,0.5
757,64,75,1.0
758,64,107,1.0
759,64,156,0.5
760,64,164,0.5
761,64,298,1.0
762,64,560,0.5
763,64,645,1.0
764,64,675,1.0
765,64,872,1.0
766,64,1067,0.5
767,64,1229,1.0
768,64,1319,1.0
769,64,1364,1.0
770,64,1510,0.5
771,64,1636,1.0
772,64,1676,1.0
773,64,1774,1.0
774,65,76,0.5
775,65,202,0.25
776,65,312,0.5
777,65,464,0.5
778,65,511,0.2
779,65,523,0.2
780,65,594,0.07692307692307693
781,65,663,0.5
782,65,1162,0.5
783,66,16,0.043478260869565216
784,66,41,0.008
785,66,50,0.3333333333333333
786,66,391,1.0
787,66,439,0.5
788,66,535,0.09090909090909091
789,66,812,0.5
790,67,15,0.2
791,67,27,0.07142857142857142
792,67,41,0.008
793,67,45,0.25
794,67,51,0.2
795,67,193,0.058823529411764705
796,67,254,0.5
797,67,278,0.5
798,67,285,1.0
799,67,304,0.125
800,67,320,0.5
801,67,322,0.3333333333333333
802,67,340,0.09523809523809523
803,67,406,1.0
804,67,414,1.0
805,67,502,1.0
806,67,558,0.25
807,67,700,1.0
808,67,821,0.25
809,67,832,0.5
810,67,849,1.0
811,67,863,0.3333333333333333
812,67,875,1.0
813,67,979,0.5
814,67,1062,0.16666666666666666
815,67,1120,0.25
816,67,1194,0.5
817,67,1239,1.0
818,67,1417,0.5
819,67,1502,1.0
820,67,1564,0.5
821,68,77,0.3333333333333333
822,68,78,0.3333333333333333
823,68,86,1.0
824,68,637,1.0
825,68,698,1.0
826,68,1000,0.5
827,68,1426,1.0
828,69,19,0.5
829,69,148,1.0
830,69,509,0.3333333333333333
831,69,976,1.0
832,69,1065,0.3333333333333333
833,70,35,0.3333333333333333
834,70,39,0.3333333333333333
835,70,73,0.3333333333333333
836,70,78,0.3333333333333333
837,70,79,0.3333333333333333
838,70,92,0.25
839,70,176,1.0
840,70,182,1.0
841,70,412,0.3333333333333333
842,70,594,0.07692307692307693
843,70,671,0.3333333333333333
844,70,809,0.25
845,70,1114,1.0
846,70,1260,0.25
847,71,80,0.2
848,71,132,1.0
849,71,965,0.5
850,72,82,0.5
851,73,83,0.5
852,73,464,0.5
853,73,697,1.0
854,73,1208,0.5
855,73,1370,1.0
856,74,57,0.3333333333333333
857,74,85,0.25
858,74,438,0.3333333333333333
859,74,501,0.2
860,74,513,0.25
861,74,764,0.5
862,74,1475,1.0
863,75,41,0.008
864,75,54,0.5
865,75,87,0.5
866,75,99,0.5
867,75,241,1.0
868,75,253,0.5
869,75,304,0.125
870,75,430,0.5
871,75,479,0.5
872,75,530,0.3333333333333333
873,75,532,1.0
874,75,644,0.5
875,75,717,0.5
876,75,838,0.5
877,75,845,0.5
878,75,981,0.5
879,75,1157,1.0
880,75,1191,1.0
881,75,1223,0.3333333333333333
882,75,1303,0.5
883,75,1340,0.5
884,75,1522,0.5
885,75,1598,1.0
886,75,1691,1.0
887,75,1709,1.0
888,76,88,0.5
889,76,435,1.0
890,76,828,0.25
891,76,1568,1.0
892,76,1577,1.0
893,76,1639,1.0
894,77,89,0.5
895,77,315,0.5
896,77,1498,1.0
897,78,90,0.14285714285714285
898,78,141,0.5
899,78,528,0.25
900,78,614,0.5
901,78,725,0.2
902,78,1396,1.0
903,79,91,0.5
904,79,304,0.125
905,80,92,0.25
906,81,15,0.2
907,81,16,0.043478260869565216
908,81,41,0.016
909,81,93,0.125
910,81,101,0.25
911,81,222,0.25
912,81,304,0.125
913,81,594,0.07692307692307693
914,81,867,0.5
915,81,911,1.0
916,81,1081,1.0
917,81,1129,0.3333333333333333
918,81,1140,1.0
919,81,1158,0.5
920,81,1287,1.0
921,81,1397,0.5
922,81,1405,1.0
923,81,1456,1.0
924,81,1581,1.0
925,82,23,0.5
926,82,41,0.016
927,82,94,1.0
928,82,125,0.5
929,82,137,0.2
930,82,199,0.16666666666666666
931,82,210,0.5
932,82,232,0.25
933,82,271,0.25
934,82,279,0.5
935,82,291,1.0
936,82,376,0.5
937,82,394,1.0
938,82,487,0.3333333333333333
939,82,500,1.0
940,82,577,0.5
941,82,586,1.0
942,82,588,0.25
943,82,648,0.5
944,82,667,1.0
945,82,876,1.0
946,82,879,0.5
947,82,971,0.5
948,82,1162,0.5
949,82,1231,1.0
950,82,1294,0.5
951,82,1305,1.0
952,82,1410,1.0
953,82,1433,1.0
954,82,1442,1.0
955,82,1642,1.0
956,82,1646,1.0
957,82,1665,0.3333333333333333
958,82,1702,1.0
959,83,96,0.2
960,83,374,1.0
961,83,771,0.5
962,83,1353,0.5
963,84,16,0.043478260869565216
964,84,40,0.09090909090909091
965,84,52,0.07692307692307693
966,84,150,0.2
967,84,171,0.5
968,84,424,0.3333333333333333
969,84,580,1.0
970,84,594,0.07692307692307693
971,84,673,0.3333333333333333
972,84,755,1.0
973,84,807,0.3333333333333333
974,84,808,0.5
975,84,931,1.0
976,84,1141,1.0
977,84,1607,1.0
978,84,1738,1.0
979,85,10,0.5
980,85,98,0.5
981,85,175,0.3333333333333333
982,86,99,0.5
983,86,392,0.5
984,86,1066,0.2
985,87,100,0.3333333333333333
986,87,137,0.2
987,87,272,1.0
988,87,538,0.5
989,87,566,1.0
990,87,615,1.0
991,87,621,0.25
992,87,709,1.0
993,87,840,1.0
994,87,1047,0.5
995,87,1324,1.0
996,87,1473,0.5
997,87,1675,1.0
998,88,27,0.07142857142857142
999,88,36,0.3333333333333333
1000,88,102,1.0
1001,88,173,0.5
1002,88,193,0.058823529411764705
1003,88,319,1.0
1004,88,514,1.0
1005,88,570,0.16666666666666666
1006,88,617,0.3333333333333333
1007,88,664,1.0
1008,88,710,1.0
1009,88,907,0.5
1010,88,1455,1.0
1011,89,104,1.0
1012,89,177,0.5
1013,90,105,1.0
1014,90,108,0.25
1015,90,1115,1.0
1016,90,1356,1.0
1017,91,17,0.5
1018,91,22,0.3333333333333333
1019,91,27,0.07142857142857142
1020,91,41,0.016
1021,91,44,0.25
1022,91,90,0.14285714285714285
1023,91,106,1.0
1024,91,119,1.0
1025,91,125,0.5
1026,91,127,0.25
1027,91,196,1.0
1028,91,249,0.125
1029,91,313,0.5
1030,91,339,0.5
1031,91,340,0.047619047619047616
1032,91,367,1.0
1033,91,421,1.0
1034,91,549,0.3333333333333333
1035,91,554,0.3333333333333333
1036,91,768,1.0
1037,91,778,0.3333333333333333
1038,91,906,1.0
1039,91,1528,1.0
1040,91,1564,0.5
1041,91,1640,1.0
1042,91,1708,1.0
1043,92,9,0.125
1044,92,83,0.5
1045,92,317,0.3333333333333333
1046,92,356,0.5
1047,92,447,0.3333333333333333
1048,92,563,1.0
1049,92,575,1.0
1050,92,1010,1.0
1051,92,1022,0.5
1052,92,1501,0.5
1053,93,25,0.14285714285714285
1054,93,41,0.008
1055,93,161,0.25
1056,93,465,0.5
1057,93,864,1.0
1058,93,866,0.3333333333333333
1059,93,1042,1.0
1060,93,1079,1.0
1061,93,1175,0.5
1062,94,41,0.008
1063,94,1136,1.0
1064,94,1221,1.0
1065,95,110,1.0
1066,95,390,1.0
1067,95,693,1.0
1068,95,1227,1.0
1069,95,1383,1.0
1070,95,1477,1.0
1071,95,1652,1.0
1072,96,45,0.25
1073,96,111,0.5
1074,96,237,0.5
1075,96,599,1.0
1076,96,796,0.3333333333333333
1077,96,878,0.5
1078,97,95,0.5
1079,97,113,1.0
1080,97,886,0.25
1081,97,902,0.25
1082,98,16,0.043478260869565216
1083,98,114,1.0
1084,98,167,0.3333333333333333
1085,98,200,0.5
1086,98,212,0.07692307692307693
1087,98,244,0.5
1088,98,254,0.5
1089,98,377,1.0
1090,98,470,1.0
1091,98,504,1.0
1092,98,508,1.0
1093,98,601,1.0
1094,98,643,0.5
1095,98,841,1.0
1096,98,886,0.25
1097,98,984,1.0
1098,98,1110,1.0
1099,98,1117,0.5
1100,98,1132,1.0
1101,98,1161,0.5
1102,98,1177,1.0
1103,98,1272,0.5
1104,98,1322,0.5
1105,98,1462,1.0
1106,98,1467,0.5
1107,98,1490,1.0
1108,98,1610,0.5
1109,98,1745,1.0
1110,99,27,0.07142857142857142
1111,99,116,1.0
1112,99,120,0.5
1113,99,201,0.5
1114,99,325,0.25
1115,99,567,0.5
1116,99,587,0.5
1117,99,945,1.0
1118,99,975,1.0
1119,99,1144,0.5
1120,99,1202,1.0
1121,99,1233,1.0
1122,99,1274,1.0
1123,99,1291,0.3333333333333333
1124,99,1422,1.0
1125,99,1509,1.0
1126,99,1585,1.0
1127,99,1697,1.0
1128,100,117,1.0
1129,100,139,0.08333333333333333
1130,100,235,1.0
1131,100,328,0.5
1132,100,443,0.5
1133,100,473,1.0
1134,100,596,0.5
1135,100,807,0.3333333333333333
1136,100,904,0.5
1137,100,1416,0.5
1138,100,1483,1.0
1139,100,1491,1.0
1140,100,1760,1.0
1141,101,27,0.07142857142857142
1142,101,41,0.008
1143,101,71,0.25
1144,101,118,0.5
1145,101,288,1.0
1146,101,338,1.0
1147,101,431,0.3333333333333333
1148,101,438,0.3333333333333333
1149,101,489,1.0
1150,101,526,0.3333333333333333
1151,101,535,0.09090909090909091
1152,101,538,0.5
1153,101,651,0.5
1154,101,688,0.5
1155,101,704,0.3333333333333333
1156,101,726,0.5
1157,101,867,0.5
1158,101,953,1.0
1159,101,994,1.0
1160,101,1119,1.0
1161,101,1148,1.0
1162,101,1174,1.0
1163,101,1350,0.2
1164,101,1401,1.0
1165,101,1412,1.0
1166,101,1538,1.0
1167,101,1660,1.0
1168,102,101,0.25
1169,102,121,0.2
1170,103,122,0.3333333333333333
1171,103,174,0.2
1172,103,311,1.0
1173,103,496,1.0
1174,103,594,0.07692307692307693
1175,104,46,0.3333333333333333
1176,105,16,0.043478260869565216
1177,105,128,1.0
1178,105,750,0.5
1179,105,1659,0.5
1180,106,129,0.5
1181,107,131,1.0
1182,107,212,0.07692307692307693
1183,107,305,0.5
1184,107,340,0.047619047619047616
1185,107,570,0.16666666666666666
1186,107,915,0.09090909090909091
1187,107,998,0.2
1188,107,1186,1.0
1189,107,1313,0.5
1190,107,1614,1.0
1191,107,1678,1.0
1192,108,133,0.5
1193,109,134,0.1111111111111111
1194,109,137,0.2
1195,109,340,0.047619047619047616
1196,109,758,1.0
1197,109,935,0.25
1198,110,41,0.008
1199,110,135,1.0
1200,110,193,0.058823529411764705
1201,110,857,0.5
1202,110,1113,1.0
1203,110,1379,1.0
1204,110,1382,1.0
1205,110,1756,1.0
1206,111,138,1.0
1207,111,400,0.3333333333333333
1208,111,574,1.0
1209,111,833,1.0
1210,111,913,1.0
1211,111,1781,1.0
1212,112,30,0.5
1213,112,583,0.3333333333333333
