,total_rooms_tVar,median_house_value_tVar,values
471,293,264,1.0
472,294,44,0.25
473,294,122,0.3333333333333333
474,295,265,0.5
475,295,1067,0.5
476,295,1310,1.0
477,296,266,1.0
478,296,938,1.0
479,297,225,0.5
480,298,41,0.008
481,299,267,1.0
482,300,268,1.0
483,300,1350,0.2
484,301,92,0.25
485,302,269,1.0
486,302,1511,0.5
487,303,270,1.0
488,304,41,0.008
489,304,271,0.25
490,304,1304,1.0
491,304,1366,1.0
492,304,1420,1.0
493,305,272,1.0
494,306,273,1.0
495,306,712,1.0
496,307,274,0.5
497,307,1117,0.5
498,308,195,0.2
499,308,276,0.2
500,309,41,0.008
501,310,78,0.3333333333333333
502,311,277,0.5
503,311,692,1.0
504,312,278,0.5
505,313,279,0.5
506,314,134,0.1111111111111111
507,315,211,0.5
508,316,280,0.5
509,317,281,1.0
510,318,282,0.5
511,319,185,0.5
512,319,283,0.3333333333333333
513,319,1298,0.3333333333333333
514,320,41,0.008
515,320,284,0.3333333333333333
516,321,285,1.0
517,322,286,0.3333333333333333
518,323,108,0.25
519,324,287,1.0
520,325,288,1.0
521,326,41,0.008
522,326,1447,1.0
523,327,289,1.0
524,328,290,0.3333333333333333
525,329,291,1.0
526,330,232,0.25
527,331,292,1.0
528,332,93,0.125
529,332,293,1.0
530,332,399,1.0
531,332,1293,0.5
532,333,294,1.0
533,334,295,0.3333333333333333
534,334,666,1.0
535,334,767,0.5
536,335,296,0.5
537,335,641,0.5
538,335,670,1.0
539,336,297,0.5
540,336,1115,1.0
541,337,78,0.3333333333333333
542,337,673,0.3333333333333333
543,338,193,0.058823529411764705
544,339,139,0.08333333333333333
545,339,298,1.0
546,340,299,1.0
547,341,36,0.3333333333333333
548,341,628,0.5
549,342,249,0.125
550,343,41,0.008
551,343,300,0.5
552,343,761,0.5
553,343,1580,1.0
554,344,41,0.008
555,345,41,0.008
556,345,150,0.2
557,345,742,0.25
558,345,998,0.2
559,346,239,0.3333333333333333
560,347,301,0.5
561,347,361,1.0
562,348,302,0.5
563,348,1313,0.5
564,349,303,0.5
565,349,781,0.5
566,350,41,0.008
567,351,304,0.125
568,352,305,0.5
569,352,1214,1.0
570,353,44,0.25
571,353,804,0.3333333333333333
572,354,187,0.3333333333333333
573,354,306,1.0
574,355,307,1.0
575,355,1264,1.0
576,356,308,1.0
577,357,309,0.3333333333333333
578,358,310,0.5
579,358,433,0.3333333333333333
580,359,311,1.0
581,359,1371,1.0
582,360,312,0.5
583,361,313,0.5
584,362,314,0.3333333333333333
585,362,1287,1.0
586,362,1490,1.0
587,363,40,0.09090909090909091
588,364,79,0.3333333333333333
589,364,954,1.0
590,365,315,0.5
591,365,1472,0.5
592,366,316,0.25
593,366,1516,0.5
594,367,212,0.07692307692307693
595,367,317,0.3333333333333333
596,368,318,1.0
597,369,139,0.08333333333333333
598,370,319,1.0
599,371,41,0.008
600,372,320,0.5
601,373,321,0.5
602,374,322,0.3333333333333333
603,374,340,0.047619047619047616
604,375,323,1.0
605,376,193,0.058823529411764705
606,377,41,0.008
607,377,1404,1.0
608,378,324,0.25
609,379,325,0.25
610,380,326,0.5
611,381,327,1.0
612,381,879,0.5
613,381,1049,0.5
614,382,328,0.5
615,382,837,0.3333333333333333
616,383,127,0.25
617,383,330,0.3333333333333333
618,384,331,0.3333333333333333
619,384,871,1.0
620,384,1272,0.5
621,385,332,1.0
622,386,333,1.0
623,386,742,0.25
624,387,334,1.0
625,388,335,1.0
626,389,154,0.5
627,390,336,1.0
628,391,337,1.0
629,392,338,1.0
630,393,339,0.5
631,393,1023,0.5
632,394,340,0.047619047619047616
633,394,583,0.3333333333333333
634,395,341,0.5
635,396,16,0.043478260869565216
636,397,342,1.0
637,398,343,0.5
638,399,344,1.0
639,400,345,1.0
640,401,346,0.3333333333333333
641,402,347,0.5
642,403,348,0.5
643,404,349,1.0
644,405,350,0.5
645,405,398,0.3333333333333333
646,406,41,0.008
647,406,351,1.0
648,406,1307,0.3333333333333333
649,407,352,1.0
650,408,354,1.0
651,409,355,0.5
652,410,356,0.5
653,411,357,1.0
654,412,358,1.0
655,413,359,1.0
656,413,862,1.0
657,414,360,1.0
658,415,195,0.2
659,416,362,0.25
660,416,616,1.0
661,416,796,0.3333333333333333
662,417,363,0.5
663,418,27,0.07142857142857142
664,419,127,0.25
665,420,365,1.0
666,420,870,1.0
667,421,366,0.5
668,422,367,1.0
669,422,1523,1.0
670,423,368,1.0
671,424,51,0.2
672,424,369,1.0
673,424,1029,1.0
674,425,370,1.0
675,425,1712,1.0
676,426,41,0.008
677,426,371,0.5
678,427,372,1.0
679,428,41,0.008
680,428,1617,1.0
681,429,373,1.0
682,430,374,1.0
683,431,375,0.5
684,431,786,0.5
685,432,376,0.5
686,433,41,0.008
687,433,377,1.0
688,433,1154,1.0
689,434,378,1.0
690,435,379,0.3333333333333333
691,436,380,1.0
692,437,382,1.0
693,438,383,1.0
694,439,384,0.5
695,439,1594,1.0
696,440,385,1.0
697,441,386,1.0
698,442,388,1.0
699,443,41,0.008
700,443,1644,0.5
701,444,389,0.3333333333333333
702,445,153,0.3333333333333333
703,446,390,1.0
704,447,391,1.0
705,448,392,0.5
706,448,1212,0.3333333333333333
707,449,393,0.5
708,449,1311,1.0
709,450,394,1.0
710,451,220,0.3333333333333333
711,452,11,0.5
712,453,340,0.047619047619047616
713,453,395,1.0
714,454,396,0.5
715,454,1537,1.0
716,455,41,0.008
717,455,1129,0.3333333333333333
718,456,22,0.3333333333333333
719,457,355,0.5
720,458,304,0.125
721,459,397,1.0
722,459,1260,0.25
723,460,398,0.3333333333333333
724,461,41,0.008
725,461,1482,1.0
726,462,15,0.2
727,462,212,0.07692307692307693
728,462,493,0.5
729,463,214,0.5
730,464,400,0.3333333333333333
731,465,401,1.0
732,466,134,0.1111111111111111
733,467,134,0.1111111111111111
734,467,402,1.0
735,468,48,0.16666666666666666
736,469,404,0.5
737,469,886,0.25
738,470,274,0.5
739,471,405,1.0
740,472,406,1.0
741,473,407,0.25
742,474,408,1.0
743,475,73,0.3333333333333333
744,475,379,0.3333333333333333
745,475,640,0.25
746,475,928,1.0
747,476,409,0.5
748,476,1394,1.0
749,477,410,0.5
750,478,41,0.008
751,478,76,0.5
752,479,411,0.5
753,480,41,0.008
754,480,650,0.5
755,481,326,0.5
756,481,412,0.3333333333333333
757,482,413,1.0
758,482,626,0.3333333333333333
759,483,9,0.125
760,483,414,1.0
761,484,41,0.008
762,484,1716,0.5
763,485,415,1.0
764,485,1586,1.0
765,486,416,1.0
766,486,1062,0.16666666666666666
767,487,417,1.0
768,488,418,1.0
769,489,419,0.5
770,490,325,0.25
771,490,474,1.0
772,491,421,1.0
773,492,422,1.0
774,492,1040,1.0
775,493,364,0.25
776,493,423,0.16666666666666666
777,493,1403,1.0
778,494,99,0.5
779,495,80,0.2
780,496,286,0.3333333333333333
781,497,424,0.3333333333333333
782,498,425,1.0
783,498,632,1.0
784,498,901,1.0
785,499,426,0.5
786,499,1496,0.3333333333333333
787,499,1654,1.0
788,500,427,0.5
789,501,41,0.008
790,501,340,0.047619047619047616
791,501,468,0.3333333333333333
792,501,921,0.3333333333333333
793,502,428,1.0
794,503,41,0.008
795,504,429,0.5
796,505,430,0.5
797,506,379,0.3333333333333333
798,506,1047,0.5
799,507,431,0.3333333333333333
800,507,439,0.5
801,507,598,0.5
802,508,41,0.008
803,509,432,0.3333333333333333
804,509,1242,1.0
805,510,433,0.3333333333333333
806,511,36,0.3333333333333333
807,511,434,1.0
808,511,1173,1.0
809,511,1263,0.3333333333333333
810,512,435,1.0
811,513,436,0.5
812,514,437,1.0
813,515,16,0.043478260869565216
814,515,438,0.3333333333333333
815,516,96,0.2
816,516,440,0.3333333333333333
817,516,1713,1.0
818,517,441,1.0
819,518,442,1.0
820,519,220,0.3333333333333333
821,520,41,0.008
822,520,443,0.5
823,520,648,0.5
824,521,444,0.5
825,522,445,1.0
826,522,602,1.0
827,523,446,0.25
828,524,447,0.3333333333333333
829,524,1588,1.0
830,525,448,1.0
831,526,449,1.0
832,526,1052,0.5
833,527,451,1.0
834,527,941,0.5
835,528,452,1.0
836,529,453,0.3333333333333333
837,529,1652,1.0
838,530,41,0.008
839,531,52,0.07692307692307693
840,532,454,1.0
841,533,455,1.0
842,534,40,0.09090909090909091
843,534,456,1.0
844,535,457,1.0
845,536,27,0.07142857142857142
846,536,458,1.0
847,537,459,1.0
848,537,786,0.5
849,538,27,0.07142857142857142
850,539,460,0.5
851,540,461,0.5
852,541,244,0.5
853,541,462,0.3333333333333333
854,541,698,1.0
855,542,463,0.5
856,543,464,0.5
857,544,465,0.5
858,544,619,0.5
859,544,1380,1.0
860,545,466,0.5
861,546,467,1.0
862,547,280,0.5
863,547,469,0.5
864,547,1541,1.0
865,548,16,0.043478260869565216
866,549,470,1.0
867,550,471,1.0
868,550,1328,1.0
869,550,1504,0.5
870,551,346,0.3333333333333333
871,552,472,1.0
872,553,473,1.0
873,554,41,0.008
874,554,549,0.3333333333333333
875,555,317,0.3333333333333333
876,556,475,1.0
877,557,476,0.25
878,557,1691,1.0
879,558,477,0.3333333333333333
880,558,1060,1.0
881,558,1077,0.3333333333333333
882,559,314,0.3333333333333333
883,559,478,1.0
884,559,1473,0.5
885,560,47,0.3333333333333333
886,560,479,0.5
887,561,480,0.5
888,562,481,1.0
889,563,482,0.5
890,564,483,1.0
891,565,50,0.3333333333333333
892,565,265,0.5
893,566,9,0.125
894,566,16,0.043478260869565216
895,566,832,0.5
896,567,484,1.0
897,568,212,0.07692307692307693
898,568,485,0.5
899,568,608,0.3333333333333333
900,569,486,1.0
901,570,23,0.5
902,570,109,0.3333333333333333
903,570,212,0.07692307692307693
904,571,487,0.3333333333333333
905,572,488,1.0
906,573,325,0.25
907,574,489,1.0
908,575,491,1.0
909,575,1763,1.0
910,576,212,0.07692307692307693
911,577,492,1.0
912,578,493,0.5
913,578,1018,1.0
914,579,494,1.0
915,580,121,0.2
916,580,495,1.0
917,581,168,0.5
918,582,283,0.3333333333333333
919,583,497,0.2
920,583,947,0.5
921,584,498,1.0
922,584,559,0.5
923,584,1344,1.0
924,585,499,0.5
925,586,500,1.0
926,587,502,1.0
927,588,100,0.3333333333333333
928,588,409,0.5
929,589,505,1.0
930,589,1330,1.0
931,590,506,1.0
932,591,507,0.5
933,592,508,1.0
934,592,730,1.0
935,593,509,0.3333333333333333
936,594,510,1.0
937,595,16,0.043478260869565216
938,595,216,0.5
939,596,512,1.0
940,597,513,0.25
941,597,1534,0.5
942,598,514,1.0
943,599,515,0.3333333333333333
944,599,986,0.5
945,600,516,1.0
946,601,518,1.0
947,601,1516,0.5
948,602,519,1.0
949,603,520,0.5
950,604,271,0.25
951,605,340,0.047619047619047616
952,606,521,0.5
953,607,522,1.0
954,608,523,0.2
955,609,524,1.0
956,610,248,0.3333333333333333
957,611,525,0.5
958,612,201,0.5
959,612,501,0.2
960,613,526,0.3333333333333333
961,614,7,0.3333333333333333
962,615,527,1.0
963,616,528,0.25
964,617,529,0.5
965,618,530,0.3333333333333333
966,619,366,0.5
967,620,531,0.5
968,620,842,1.0
969,621,532,1.0
970,622,476,0.25
971,622,533,0.5
972,623,534,1.0
973,623,1135,1.0
974,624,535,0.09090909090909091
975,625,536,1.0
976,626,537,1.0
977,626,1167,1.0
978,627,41,0.008
979,627,538,0.5
980,627,1191,1.0
981,628,340,0.047619047619047616
982,628,539,1.0
983,629,540,1.0
984,630,193,0.058823529411764705
985,631,193,0.058823529411764705
986,632,541,1.0
987,633,279,0.5
988,634,362,0.25
989,635,542,1.0
990,635,800,1.0
991,636,543,1.0
992,636,1241,1.0
993,637,544,1.0
994,638,546,0.5
995,639,400,0.3333333333333333
996,640,547,1.0
997,641,548,0.5
998,641,1563,1.0
999,642,549,0.3333333333333333
1000,643,550,1.0
1001,643,1364,1.0
1002,644,304,0.125
1003,645,529,0.5
1004,645,1291,0.3333333333333333
1005,646,150,0.2
1006,646,734,1.0
1007,647,551,0.2
1008,647,1263,0.3333333333333333
1009,648,523,0.2
1010,648,552,0.5
1011,649,41,0.008
1012,650,553,1.0
1013,651,554,0.3333333333333333
1014,652,340,0.047619047619047616
1015,653,27,0.07142857142857142
1016,654,52,0.07692307692307693
1017,655,555,1.0
1018,656,137,0.2
1019,657,556,1.0
1020,658,557,1.0
1021,659,558,0.25
1022,660,438,0.3333333333333333
1023,661,560,0.5
1024,662,52,0.07692307692307693
1025,663,41,0.008
1026,664,561,0.5
1027,664,766,1.0
1028,664,1307,0.3333333333333333
1029,665,562,1.0
1030,665,1449,1.0
1031,666,90,0.14285714285714285
1032,667,563,1.0
1033,668,564,1.0
1034,669,565,1.0
1035,670,566,1.0
1036,671,41,0.008
1037,672,567,0.5
1038,673,80,0.2
1039,673,568,1.0
1040,674,423,0.16666666666666666
1041,674,927,0.5
1042,675,569,1.0
1043,676,570,0.16666666666666666
1044,676,915,0.09090909090909091
1045,677,571,1.0
1046,677,1203,1.0
1047,678,573,1.0
1048,679,574,1.0
1049,679,795,1.0
1050,680,575,1.0
1051,680,846,1.0
1052,681,576,1.0
1053,681,920,0.3333333333333333
1054,681,1240,1.0
1055,682,577,0.5
1056,683,578,1.0
1057,684,579,1.0
1058,685,580,1.0
1059,686,581,1.0
1060,687,283,0.3333333333333333
1061,688,145,0.3333333333333333
1062,688,328,0.5
1063,689,582,0.25
1064,689,1505,1.0
1065,690,584,1.0
1066,691,340,0.047619047619047616
1067,692,134,0.1111111111111111
1068,692,585,1.0
1069,693,586,1.0
1070,694,588,0.25
1071,694,956,0.5
1072,694,1181,1.0
1073,695,589,1.0
1074,696,90,0.14285714285714285
1075,697,407,0.25
1076,698,590,1.0
1077,699,591,0.3333333333333333
1078,700,592,0.5
1079,701,558,0.25
1080,702,340,0.047619047619047616
1081,702,1208,0.5
1082,702,1728,1.0
1083,703,41,0.008
1084,703,87,0.5
1085,704,41,0.008
1086,705,594,0.07692307692307693
1087,706,71,0.25
1088,707,595,0.3333333333333333
1089,708,596,0.5
1090,709,597,0.5
1091,710,599,1.0
1092,710,1354,1.0
1093,711,600,1.0
1094,712,601,1.0
1095,713,426,0.5
1096,713,614,0.5
1097,714,603,1.0
1098,714,1399,0.5
1099,715,605,1.0
1100,716,606,1.0
1101,717,101,0.25
1102,717,304,0.125
1103,717,746,0.25
1104,718,607,1.0
1105,719,453,0.3333333333333333
1106,719,1166,1.0
1107,720,608,0.3333333333333333
1108,720,1222,0.3333333333333333
1109,721,609,1.0
1110,722,612,1.0
1111,723,613,1.0
1112,724,614,0.5
1113,724,1251,1.0
1114,725,615,1.0
1115,726,594,0.07692307692307693
1116,726,644,0.5
1117,727,92,0.25
1118,727,935,0.25
1119,728,617,0.3333333333333333
1120,729,56,0.3333333333333333
1121,729,250,0.3333333333333333
1122,730,41,0.008
1123,730,1348,1.0
1124,731,619,0.5
1125,732,620,1.0
1126,733,115,0.2
1127,733,621,0.25
1128,734,622,1.0
1129,735,623,1.0
1130,736,627,0.5
1131,737,628,0.5
1132,738,629,1.0
1133,739,304,0.125
1134,739,469,0.5
1135,739,526,0.3333333333333333
1136,739,549,0.3333333333333333
1137,739,1245,1.0
1138,740,551,0.2
1139,740,1279,1.0
1140,741,324,0.25
1141,741,630,1.0
1142,742,631,1.0
1143,743,633,0.5
1144,743,1303,0.5
1145,744,634,1.0
1146,745,635,0.5
1147,745,639,0.25
1148,745,702,0.5
1149,746,636,0.5
1150,746,651,0.5
1151,746,1446,0.3333333333333333
1152,747,156,0.5
1153,748,637,1.0
1154,749,638,0.5
1155,750,639,0.25
1156,750,1120,0.25
1157,751,640,0.25
1158,752,642,0.5
1159,753,322,0.3333333333333333
1160,753,643,0.5
1161,754,644,0.5
1162,754,1219,1.0
1163,755,645,1.0
1164,755,876,1.0
1165,755,1176,1.0
1166,756,646,1.0
1167,757,121,0.2
1168,757,314,0.3333333333333333
1169,757,809,0.25
1170,758,647,1.0
1171,759,648,0.5
1172,760,649,1.0
1173,760,1688,1.0
1174,761,271,0.25
1175,762,57,0.3333333333333333
1176,763,652,1.0
1177,764,139,0.08333333333333333
1178,764,653,1.0
1179,764,1612,0.5
1180,765,654,0.3333333333333333
1181,766,655,0.5
1182,766,998,0.2
1183,766,1524,1.0
1184,767,193,0.058823529411764705
1185,768,656,1.0
1186,769,655,0.5
1187,770,41,0.008
1188,770,490,0.3333333333333333
1189,770,866,0.3333333333333333
1190,771,657,1.0
1191,772,658,1.0
1192,772,1022,0.5
1193,773,659,1.0
1194,773,1613,1.0
1195,774,594,0.07692307692307693
1196,774,660,0.5
1197,775,661,1.0
1198,775,915,0.09090909090909091
1199,776,663,0.5
1200,776,1573,1.0
1201,777,664,1.0
1202,778,665,0.5
1203,778,674,0.5
1204,779,667,1.0
1205,780,84,0.5
1206,781,669,0.5
1207,781,704,0.3333333333333333
1208,782,10,0.5
1209,782,284,0.3333333333333333
1210,782,834,0.5
1211,782,963,0.5
1212,783,671,0.3333333333333333
1213,784,672,1.0
1214,785,673,0.3333333333333333
1215,786,675,1.0
1216,786,1047,0.5
1217,786,1661,1.0
1218,787,676,0.5
1219,787,1225,1.0
1220,788,677,1.0
1221,789,96,0.2
1222,790,678,1.0
1223,790,1028,1.0
1224,791,679,0.5
1225,792,511,0.2
1226,792,806,1.0
