,housing_median_age_tVar,median_house_value_tVar,values
310,4,1066,0.2
311,4,1094,1.0
312,4,1102,1.0
313,4,1165,1.0
314,4,1172,1.0
315,4,1201,0.3333333333333333
316,4,1211,0.3333333333333333
317,4,1220,0.5
318,4,1260,0.25
319,4,1280,1.0
320,4,1335,1.0
321,4,1349,1.0
322,4,1364,1.0
323,4,1381,1.0
324,4,1446,0.3333333333333333
325,4,1466,0.5
326,4,1496,0.3333333333333333
327,4,1556,1.0
328,4,1597,1.0
329,4,1620,1.0
330,4,1710,1.0
331,4,1724,1.0
332,4,1760,1.0
333,4,1768,1.0
334,5,7,0.3333333333333333
335,5,15,0.2
336,5,39,0.3333333333333333
337,5,41,0.024
338,5,71,0.25
339,5,83,0.5
340,5,108,0.25
341,5,136,1.0
342,5,137,0.2
343,5,139,0.08333333333333333
344,5,142,1.0
345,5,144,0.3333333333333333
346,5,145,0.3333333333333333
347,5,146,0.3333333333333333
348,5,151,0.3333333333333333
349,5,158,0.5
350,5,203,0.5
351,5,212,0.15384615384615385
352,5,221,0.5
353,5,242,1.0
354,5,249,0.125
355,5,251,0.5
356,5,290,0.3333333333333333
357,5,305,0.5
358,5,309,0.3333333333333333
359,5,347,0.5
360,5,357,1.0
361,5,363,0.5
362,5,371,0.5
363,5,396,0.5
364,5,425,1.0
365,5,462,0.3333333333333333
366,5,479,0.5
367,5,507,0.5
368,5,532,1.0
369,5,533,0.5
370,5,535,0.09090909090909091
371,5,553,1.0
372,5,556,1.0
373,5,582,0.25
374,5,608,0.3333333333333333
375,5,629,1.0
376,5,684,1.0
377,5,761,0.5
378,5,775,1.0
379,5,803,0.5
380,5,860,0.5
381,5,878,0.5
382,5,880,0.5
383,5,882,1.0
384,5,901,1.0
385,5,904,0.5
386,5,954,1.0
387,5,978,1.0
388,5,1004,1.0
389,5,1005,0.5
390,5,1109,0.5
391,5,1164,1.0
392,5,1173,1.0
393,5,1224,1.0
394,5,1257,0.5
395,5,1270,0.5
396,5,1296,1.0
397,5,1345,0.5
398,5,1471,0.3333333333333333
399,5,1472,0.5
400,5,1537,1.0
401,5,1569,1.0
402,5,1574,1.0
403,5,1634,1.0
404,5,1644,0.5
405,5,1668,1.0
406,5,1689,1.0
407,5,1704,1.0
408,6,8,0.5
409,6,16,0.043478260869565216
410,6,37,1.0
411,6,41,0.016
412,6,62,1.0
413,6,73,0.3333333333333333
414,6,96,0.2
415,6,123,1.0
416,6,145,0.3333333333333333
417,6,160,0.3333333333333333
418,6,166,1.0
419,6,182,1.0
420,6,188,1.0
421,6,199,0.16666666666666666
422,6,302,0.5
423,6,311,1.0
424,6,315,0.5
425,6,316,0.25
426,6,340,0.047619047619047616
427,6,369,1.0
428,6,438,0.3333333333333333
429,6,505,1.0
430,6,528,0.25
431,6,544,1.0
432,6,574,1.0
433,6,587,0.5
434,6,633,0.5
435,6,657,1.0
436,6,673,0.3333333333333333
437,6,687,0.5
438,6,707,1.0
439,6,754,1.0
440,6,762,1.0
441,6,796,0.3333333333333333
442,6,825,1.0
443,6,847,1.0
444,6,857,0.5
445,6,922,0.5
446,6,998,0.2
447,6,1022,0.5
448,6,1025,1.0
449,6,1053,0.5
450,6,1055,1.0
451,6,1062,0.16666666666666666
452,6,1078,0.5
453,6,1096,0.5
454,6,1099,0.3333333333333333
455,6,1112,1.0
456,6,1179,1.0
457,6,1210,0.5
458,6,1222,0.3333333333333333
459,6,1233,1.0
460,6,1521,1.0
461,6,1522,0.5
462,6,1603,1.0
463,6,1709,1.0
464,7,9,0.125
465,7,22,0.3333333333333333
466,7,36,0.3333333333333333
467,7,41,0.024
468,7,44,0.25
469,7,52,0.07692307692307693
470,7,85,0.25
471,7,90,0.14285714285714285
472,7,108,0.25
473,7,134,0.1111111111111111
474,7,139,0.08333333333333333
475,7,221,0.5
476,7,227,1.0
477,7,244,0.5
478,7,247,0.5
479,7,274,0.5
480,7,363,0.5
481,7,404,1.0
482,7,423,0.16666666666666666
483,7,433,0.3333333333333333
484,7,471,1.0
485,7,509,0.3333333333333333
486,7,549,0.3333333333333333
487,7,589,1.0
488,7,594,0.07692307692307693
489,7,663,0.5
490,7,727,0.5
491,7,730,1.0
492,7,851,1.0
493,7,863,0.3333333333333333
494,7,870,1.0
495,7,920,0.3333333333333333
496,7,971,0.5
497,7,1101,0.5
498,7,1104,0.3333333333333333
499,7,1237,1.0
500,7,1303,0.5
501,7,1350,0.2
502,7,1373,1.0
503,7,1375,1.0
504,7,1388,1.0
505,7,1420,1.0
506,7,1427,1.0
507,7,1518,1.0
508,7,1560,1.0
509,7,1562,1.0
510,7,1623,1.0
511,7,1665,0.3333333333333333
512,8,8,0.5
513,8,11,0.5
514,8,20,1.0
515,8,23,0.5
516,8,24,1.0
517,8,33,0.5
518,8,41,0.048
519,8,42,1.0
520,8,47,0.3333333333333333
521,8,52,0.07692307692307693
522,8,54,0.5
523,8,59,1.0
524,8,63,0.5
525,8,71,0.25
526,8,72,0.5
527,8,77,0.3333333333333333
528,8,86,1.0
529,8,97,1.0
530,8,106,1.0
531,8,126,0.3333333333333333
532,8,143,0.2
533,8,149,0.5
534,8,152,1.0
535,8,179,0.25
536,8,207,0.5
537,8,216,0.5
538,8,219,1.0
539,8,229,1.0
540,8,231,1.0
541,8,234,1.0
542,8,249,0.125
543,8,253,0.5
544,8,267,1.0
545,8,321,0.5
546,8,328,0.5
547,8,331,0.3333333333333333
548,8,332,1.0
549,8,338,1.0
550,8,341,0.5
551,8,362,0.25
552,8,364,0.25
553,8,379,0.3333333333333333
554,8,389,0.3333333333333333
555,8,395,1.0
556,8,419,0.5
557,8,429,0.5
558,8,488,1.0
559,8,501,0.2
560,8,516,1.0
561,8,522,1.0
562,8,535,0.18181818181818182
563,8,558,0.25
564,8,580,1.0
565,8,585,1.0
566,8,588,0.25
567,8,671,0.3333333333333333
568,8,673,0.3333333333333333
569,8,679,0.5
570,8,683,0.5
571,8,693,1.0
572,8,716,1.0
573,8,723,1.0
574,8,735,0.5
575,8,746,0.25
576,8,767,0.5
577,8,797,0.3333333333333333
578,8,819,0.5
579,8,835,0.14285714285714285
580,8,925,0.3333333333333333
581,8,927,0.5
582,8,967,0.5
583,8,983,1.0
584,8,994,1.0
585,8,1015,0.3333333333333333
586,8,1024,0.5
587,8,1029,1.0
588,8,1047,0.5
589,8,1048,1.0
590,8,1052,0.5
591,8,1054,1.0
592,8,1063,1.0
593,8,1066,0.2
594,8,1091,1.0
595,8,1110,1.0
596,8,1118,1.0
597,8,1170,1.0
598,8,1175,0.5
599,8,1206,1.0
600,8,1208,0.5
601,8,1253,1.0
602,8,1256,1.0
603,8,1260,0.25
604,8,1265,1.0
605,8,1291,0.3333333333333333
606,8,1293,0.5
607,8,1298,0.3333333333333333
608,8,1324,1.0
609,8,1360,1.0
610,8,1395,1.0
611,8,1417,0.5
612,8,1428,1.0
613,8,1469,1.0
614,8,1519,1.0
615,8,1545,1.0
616,8,1547,1.0
617,8,1551,1.0
618,8,1595,0.5
619,8,1635,1.0
620,8,1729,1.0
621,9,12,0.5
622,9,30,0.5
623,9,36,0.3333333333333333
624,9,39,0.3333333333333333
625,9,40,0.09090909090909091
626,9,41,0.016
627,9,46,0.3333333333333333
628,9,58,0.5
629,9,91,0.5
630,9,134,0.1111111111111111
631,9,150,0.2
632,9,197,0.2
633,9,202,0.25
634,9,211,0.5
635,9,212,0.15384615384615385
636,9,213,0.5
637,9,222,0.25
638,9,244,0.5
639,9,249,0.125
640,9,250,0.3333333333333333
641,9,260,0.5
642,9,277,0.5
643,9,296,0.5
644,9,307,1.0
645,9,312,0.5
646,9,313,0.5
647,9,317,0.3333333333333333
648,9,327,1.0
649,9,330,0.3333333333333333
650,9,340,0.09523809523809523
651,9,374,1.0
652,9,379,0.3333333333333333
653,9,412,0.3333333333333333
654,9,427,0.5
655,9,443,0.5
656,9,453,0.3333333333333333
657,9,482,0.5
658,9,526,0.3333333333333333
659,9,535,0.18181818181818182
660,9,537,1.0
661,9,543,1.0
662,9,551,0.2
663,9,564,1.0
664,9,567,0.5
665,9,594,0.07692307692307693
666,9,648,0.5
667,9,677,1.0
668,9,690,0.5
669,9,715,1.0
670,9,732,0.5
671,9,742,0.25
672,9,746,0.25
673,9,747,1.0
674,9,750,0.5
675,9,766,1.0
676,9,818,1.0
677,9,879,0.5
678,9,890,1.0
679,9,923,1.0
680,9,956,0.5
681,9,959,1.0
682,9,964,1.0
683,9,1000,0.5
684,9,1051,1.0
685,9,1058,1.0
686,9,1081,1.0
687,9,1084,1.0
688,9,1093,1.0
689,9,1115,1.0
690,9,1134,1.0
691,9,1152,0.5
692,9,1181,1.0
693,9,1196,1.0
694,9,1205,1.0
695,9,1216,0.5
696,9,1219,1.0
697,9,1223,0.3333333333333333
698,9,1228,1.0
699,9,1234,0.5
700,9,1269,0.5
701,9,1272,0.5
702,9,1322,0.5
703,9,1354,1.0
704,9,1356,1.0
705,9,1385,0.5
706,9,1438,1.0
707,9,1439,0.5
708,9,1440,1.0
709,9,1441,0.5
710,9,1448,1.0
711,9,1492,1.0
712,9,1539,1.0
713,9,1540,1.0
714,9,1557,0.5
715,9,1584,1.0
716,9,1604,1.0
717,9,1651,0.5
718,9,1660,1.0
719,9,1682,1.0
720,9,1699,1.0
721,9,1702,1.0
722,9,1705,0.5
723,9,1750,1.0
724,10,9,0.125
725,10,14,1.0
726,10,41,0.024
727,10,51,0.2
728,10,67,0.3333333333333333
729,10,107,1.0
730,10,108,0.25
731,10,115,0.2
732,10,139,0.08333333333333333
733,10,156,0.5
734,10,162,0.5
735,10,193,0.11764705882352941
736,10,233,1.0
737,10,314,0.3333333333333333
738,10,322,0.3333333333333333
739,10,365,1.0
740,10,378,1.0
741,10,382,1.0
742,10,416,1.0
743,10,455,1.0
744,10,485,0.5
745,10,526,0.3333333333333333
746,10,533,0.5
747,10,545,1.0
748,10,594,0.07692307692307693
749,10,596,0.5
750,10,792,1.0
751,10,804,0.3333333333333333
752,10,852,1.0
753,10,969,0.3333333333333333
754,10,1039,0.5
755,10,1042,1.0
756,10,1056,1.0
757,10,1148,1.0
758,10,1220,0.5
759,10,1416,0.5
760,10,1419,1.0
761,10,1422,1.0
762,10,1453,1.0
763,10,1455,1.0
764,10,1485,1.0
765,10,1509,1.0
766,10,1534,0.5
767,10,1630,1.0
768,10,1638,1.0
769,10,1697,1.0
770,10,1776,1.0
771,10,1778,1.0
772,11,16,0.043478260869565216
773,11,17,0.5
774,11,22,0.3333333333333333
775,11,27,0.07142857142857142
776,11,29,0.5
777,11,40,0.18181818181818182
778,11,41,0.024
779,11,52,0.07692307692307693
780,11,56,0.3333333333333333
781,11,63,0.5
782,11,96,0.2
783,11,98,0.5
784,11,124,1.0
785,11,153,0.3333333333333333
786,11,193,0.1764705882352941
787,11,195,0.2
788,11,199,0.16666666666666666
789,11,212,0.07692307692307693
790,11,249,0.125
791,11,256,0.5
792,11,270,1.0
793,11,287,1.0
794,11,304,0.125
795,11,310,0.5
796,11,336,1.0
797,11,361,1.0
798,11,377,1.0
799,11,405,1.0
800,11,440,0.3333333333333333
801,11,451,1.0
802,11,453,0.3333333333333333
803,11,511,0.2
804,11,528,0.25
805,11,568,1.0
806,11,583,0.3333333333333333
807,11,591,0.3333333333333333
808,11,593,1.0
809,11,594,0.07692307692307693
810,11,621,0.25
811,11,643,0.5
812,11,656,1.0
813,11,674,0.5
814,11,676,0.5
815,11,748,0.5
816,11,763,0.5
817,11,794,1.0
818,11,795,1.0
819,11,876,1.0
820,11,905,0.5
821,11,915,0.09090909090909091
822,11,940,1.0
823,11,948,1.0
824,11,950,1.0
825,11,991,0.25
826,11,1010,1.0
827,11,1015,0.3333333333333333
828,11,1041,1.0
829,11,1046,0.5
830,11,1068,1.0
831,11,1071,1.0
832,11,1077,0.3333333333333333
833,11,1089,1.0
834,11,1125,1.0
835,11,1158,0.5
836,11,1187,0.5
837,11,1190,1.0
838,11,1192,0.5
839,11,1197,0.3333333333333333
840,11,1201,0.3333333333333333
841,11,1213,1.0
842,11,1286,1.0
843,11,1289,0.5
844,11,1303,0.5
845,11,1334,1.0
846,11,1339,1.0
847,11,1346,1.0
848,11,1413,1.0
849,11,1477,1.0
850,11,1494,1.0
851,11,1496,0.3333333333333333
852,11,1627,1.0
853,11,1694,1.0
854,11,1711,1.0
855,12,18,0.5
856,12,40,0.09090909090909091
857,12,41,0.048
858,12,48,0.3333333333333333
859,12,50,0.3333333333333333
860,12,51,0.2
861,12,52,0.07692307692307693
862,12,61,1.0
863,12,68,0.3333333333333333
864,12,71,0.25
865,12,73,0.3333333333333333
866,12,76,0.5
867,12,77,0.3333333333333333
868,12,80,0.2
869,12,104,1.0
870,12,115,0.2
871,12,127,0.25
872,12,130,0.5
873,12,137,0.2
874,12,173,0.5
875,12,180,0.3333333333333333
876,12,181,0.3333333333333333
877,12,202,0.25
878,12,204,0.5
879,12,212,0.07692307692307693
880,12,232,0.25
881,12,238,1.0
882,12,240,0.5
883,12,249,0.125
884,12,265,0.5
885,12,278,0.5
886,12,282,0.5
887,12,283,0.3333333333333333
888,12,286,0.3333333333333333
889,12,300,0.5
890,12,302,0.5
891,12,318,1.0
892,12,335,1.0
893,12,352,1.0
894,12,353,1.0
895,12,364,0.25
896,12,375,0.5
897,12,392,0.5
898,12,400,0.3333333333333333
899,12,430,0.5
900,12,432,0.3333333333333333
901,12,443,0.5
902,12,447,0.3333333333333333
903,12,453,0.3333333333333333
904,12,477,0.6666666666666666
905,12,493,0.5
906,12,497,0.2
907,12,508,1.0
908,12,536,1.0
909,12,538,0.5
910,12,542,1.0
911,12,582,0.25
912,12,617,0.3333333333333333
913,12,630,1.0
914,12,636,0.5
915,12,650,0.5
916,12,666,1.0
917,12,669,0.5
918,12,722,0.5
919,12,776,0.3333333333333333
920,12,778,0.3333333333333333
921,12,809,0.25
922,12,812,0.5
923,12,830,1.0
924,12,843,1.0
925,12,863,0.3333333333333333
926,12,873,1.0
927,12,881,0.5
928,12,910,1.0
929,12,917,1.0
930,12,921,0.3333333333333333
931,12,926,0.5
932,12,936,1.0
933,12,980,1.0
934,12,1022,0.5
935,12,1070,0.5
936,12,1117,0.5
937,12,1153,1.0
938,12,1182,1.0
939,12,1183,1.0
940,12,1184,0.5
941,12,1247,1.0
942,12,1257,0.5
943,12,1258,0.5
944,12,1263,0.3333333333333333
945,12,1272,0.5
946,12,1304,1.0
947,12,1319,1.0
948,12,1325,1.0
949,12,1353,0.5
950,12,1370,1.0
951,12,1376,1.0
952,12,1404,1.0
953,12,1464,1.0
954,12,1473,0.5
955,12,1478,1.0
956,12,1510,0.5
957,12,1533,1.0
958,12,1570,1.0
959,12,1594,1.0
960,12,1649,1.0
961,12,1653,1.0
962,12,1677,1.0
963,12,1735,1.0
964,12,1761,1.0
965,12,1782,1.0
966,13,19,0.5
967,13,41,0.024
968,13,51,0.2
969,13,122,0.3333333333333333
970,13,168,0.5
971,13,193,0.058823529411764705
972,13,246,1.0
973,13,276,0.2
974,13,284,0.3333333333333333
975,13,304,0.125
976,13,305,0.5
977,13,330,0.3333333333333333
978,13,340,0.047619047619047616
979,13,376,0.5
980,13,402,1.0
981,13,484,1.0
982,13,552,0.5
983,13,625,1.0
984,13,635,0.5
985,13,663,0.5
986,13,688,0.5
987,13,704,0.3333333333333333
988,13,712,1.0
989,13,772,0.5
990,13,789,1.0
991,13,816,1.0
992,13,832,0.5
993,13,914,0.2
994,13,944,1.0
995,13,1065,0.3333333333333333
996,13,1082,1.0
997,13,1083,1.0
998,13,1187,0.5
999,13,1222,0.3333333333333333
1000,13,1355,1.0
1001,13,1429,1.0
1002,13,1442,1.0
1003,13,1466,0.5
1004,13,1524,1.0
1005,13,1538,1.0
1006,13,1600,1.0
1007,14,16,0.043478260869565216
1008,14,21,1.0
1009,14,27,0.07142857142857142
1010,14,41,0.008
1011,14,46,0.3333333333333333
1012,14,52,0.07692307692307693
1013,14,73,0.3333333333333333
1014,14,126,0.3333333333333333
1015,14,262,0.3333333333333333
1016,14,271,0.25
1017,14,309,0.3333333333333333
1018,14,359,1.0
1019,14,822,0.5
1020,14,883,1.0
1021,14,935,0.25
1022,14,1225,1.0
1023,14,1310,1.0
1024,14,1451,1.0
1025,14,1456,1.0
1026,14,1717,0.5
1027,14,1723,1.0
1028,14,1730,1.0
1029,15,23,0.5
1030,15,41,0.016
1031,15,52,0.07692307692307693
1032,15,93,0.125
1033,15,144,0.3333333333333333
1034,15,165,1.0
1035,15,174,0.2
1036,15,215,1.0
1037,15,224,0.6666666666666666
1038,15,290,0.3333333333333333
1039,15,297,0.5
1040,15,326,0.5
1041,15,340,0.047619047619047616
1042,15,386,1.0
1043,15,448,1.0
1044,15,519,1.0
1045,15,520,0.5
1046,15,554,0.3333333333333333
1047,15,626,0.3333333333333333
1048,15,765,0.5
1049,15,803,0.5
1050,15,902,0.25
1051,15,905,0.5
1052,15,1119,1.0
1053,15,1136,1.0
1054,15,1139,1.0
1055,15,1211,0.3333333333333333
1056,15,1250,0.5
1057,15,1350,0.4
1058,15,1351,0.5
1059,15,1441,0.5
1060,15,1496,0.3333333333333333
1061,15,1536,1.0
1062,15,1542,0.5
1063,15,1558,1.0
1064,15,1664,0.5
1065,15,1680,1.0
1066,15,1777,1.0
1067,16,9,0.125
1068,16,16,0.043478260869565216
1069,16,18,0.5
1070,16,25,0.14285714285714285
1071,16,27,0.2857142857142857
1072,16,35,0.3333333333333333
1073,16,41,0.10400000000000001
1074,16,57,0.3333333333333333
1075,16,65,0.5
1076,16,69,1.0
1077,16,77,0.3333333333333333
1078,16,90,0.14285714285714285
1079,16,93,0.375
1080,16,102,1.0
1081,16,139,0.08333333333333333
1082,16,140,0.5
1083,16,150,0.2
1084,16,193,0.1764705882352941
1085,16,199,0.16666666666666666
1086,16,200,0.5
1087,16,201,0.5
1088,16,204,0.5
1089,16,207,0.5
1090,16,212,0.07692307692307693
1091,16,228,1.0
1092,16,235,1.0
1093,16,266,1.0
1094,16,271,0.5
1095,16,285,1.0
1096,16,286,0.3333333333333333
1097,16,310,0.5
1098,16,321,0.5
1099,16,340,0.14285714285714285
1100,16,346,0.3333333333333333
1101,16,356,0.5
1102,16,375,0.5
1103,16,400,0.3333333333333333
1104,16,407,0.5
1105,16,409,0.5
1106,16,423,0.16666666666666666
1107,16,426,0.5
1108,16,435,1.0
1109,16,438,0.3333333333333333
1110,16,441,1.0
1111,16,450,1.0
1112,16,452,1.0
1113,16,514,1.0
1114,16,528,0.25
1115,16,531,0.5
1116,16,535,0.09090909090909091
1117,16,547,1.0
1118,16,565,1.0
1119,16,572,1.0
1120,16,587,0.5
1121,16,592,0.5
1122,16,596,0.5
1123,16,597,0.5
1124,16,598,0.5
1125,16,608,0.3333333333333333
1126,16,621,0.25
1127,16,632,1.0
1128,16,640,0.25
1129,16,651,0.5
1130,16,701,1.0
1131,16,709,1.0
1132,16,710,1.0
1133,16,725,0.2
1134,16,773,0.5
1135,16,776,0.3333333333333333
1136,16,797,0.3333333333333333
1137,16,801,1.0
1138,16,814,1.0
1139,16,821,0.25
1140,16,828,0.25
1141,16,836,1.0
1142,16,842,1.0
1143,16,848,1.0
1144,16,854,1.0
1145,16,864,1.0
1146,16,898,1.0
1147,16,914,0.2
1148,16,915,0.09090909090909091
1149,16,925,0.3333333333333333
1150,16,934,1.0
1151,16,949,1.0
1152,16,961,0.5
1153,16,975,1.0
1154,16,977,1.0
1155,16,979,0.5
1156,16,982,1.0
1157,16,985,0.3333333333333333
1158,16,991,0.75
1159,16,1001,1.0
1160,16,1007,1.0
1161,16,1043,1.0
1162,16,1049,0.5
1163,16,1074,1.0
1164,16,1090,1.0
1165,16,1120,0.5
1166,16,1131,1.0
1167,16,1194,0.5
1168,16,1197,0.3333333333333333
1169,16,1212,0.3333333333333333
1170,16,1241,1.0
1171,16,1243,1.0
1172,16,1245,1.0
1173,16,1260,0.25
1174,16,1262,1.0
1175,16,1282,1.0
1176,16,1288,1.0
1177,16,1298,0.3333333333333333
1178,16,1302,1.0
1179,16,1326,1.0
1180,16,1331,1.0
1181,16,1362,1.0
1182,16,1431,1.0
1183,16,1447,1.0
1184,16,1468,1.0
1185,16,1474,0.5
1186,16,1506,1.0
1187,16,1516,0.5
1188,16,1523,1.0
1189,16,1530,1.0
1190,16,1532,0.5
1191,16,1553,1.0
1192,16,1566,1.0
1193,16,1575,1.0
1194,16,1581,1.0
1195,16,1596,1.0
1196,16,1619,1.0
1197,16,1629,1.0
1198,16,1636,1.0
1199,16,1639,1.0
1200,16,1648,1.0
1201,16,1656,1.0
1202,16,1663,1.0
1203,16,1672,1.0
1204,16,1693,1.0
1205,16,1715,1.0
1206,16,1732,1.0
1207,16,1736,1.0
1208,16,1746,1.0
