,households_tVar,median_house_value_tVar,values
605,133,725,0.2
606,133,835,0.14285714285714285
607,133,1416,0.5
608,133,1466,0.5
609,134,135,1.0
610,134,150,0.2
611,135,136,1.0
612,135,942,1.0
613,136,137,0.2
614,136,594,0.07692307692307693
615,136,1744,1.0
616,137,138,1.0
617,137,164,0.5
618,137,182,1.0
619,137,262,0.3333333333333333
620,137,745,1.0
621,137,746,0.25
622,137,772,0.5
623,137,1126,1.0
624,137,1410,1.0
625,137,1539,1.0
626,138,30,0.5
627,138,41,0.008
628,139,41,0.008
629,139,93,0.25
630,139,139,0.08333333333333333
631,139,682,1.0
632,139,1703,1.0
633,140,140,0.5
634,140,340,0.047619047619047616
635,140,614,0.5
636,140,837,0.3333333333333333
637,140,1350,0.2
638,141,141,0.5
639,141,340,0.047619047619047616
640,141,863,0.3333333333333333
641,141,1000,0.5
642,142,122,0.3333333333333333
643,142,142,1.0
644,142,322,0.3333333333333333
645,142,1023,0.5
646,142,1513,1.0
647,143,143,0.2
648,143,1425,1.0
649,144,41,0.008
650,145,52,0.07692307692307693
651,145,144,0.3333333333333333
652,145,754,1.0
653,145,784,1.0
654,145,961,0.5
655,145,1059,1.0
656,145,1510,0.5
657,146,145,0.3333333333333333
658,146,450,1.0
659,146,728,1.0
660,146,863,0.3333333333333333
661,146,1213,1.0
662,146,1380,1.0
663,146,1479,1.0
664,147,146,0.3333333333333333
665,147,276,0.2
666,148,41,0.008
667,148,147,0.3333333333333333
668,148,187,0.3333333333333333
669,148,235,1.0
670,148,476,0.25
671,148,663,0.5
672,148,921,0.3333333333333333
673,148,1424,1.0
674,149,63,0.5
675,149,998,0.2
676,150,139,0.08333333333333333
677,150,148,1.0
678,150,162,0.5
679,150,446,0.25
680,150,1260,0.25
681,150,1560,1.0
682,150,1643,1.0
683,150,1675,1.0
684,151,150,0.2
685,151,318,1.0
686,152,151,0.3333333333333333
687,152,279,0.5
688,152,1267,1.0
689,152,1355,1.0
690,152,1482,1.0
691,152,1488,1.0
692,152,1491,1.0
693,153,152,1.0
694,154,41,0.008
695,154,153,0.3333333333333333
696,155,155,1.0
697,155,300,0.5
698,155,479,0.5
699,155,854,1.0
700,156,156,0.5
701,156,502,1.0
702,156,727,0.5
703,157,41,0.008
704,157,67,0.3333333333333333
705,157,157,1.0
706,157,383,1.0
707,157,389,0.3333333333333333
708,157,638,0.5
709,157,708,0.25
710,158,158,0.5
711,158,325,0.25
712,158,334,1.0
713,158,826,0.3333333333333333
714,158,904,0.5
715,158,1455,1.0
716,158,1553,1.0
717,159,159,0.5
718,159,1496,0.3333333333333333
719,160,160,0.3333333333333333
720,160,969,0.3333333333333333
721,160,1779,1.0
722,161,161,0.25
723,161,232,0.25
724,161,253,0.5
725,161,786,0.5
726,161,966,0.5
727,161,1056,1.0
728,162,163,1.0
729,162,907,0.5
730,163,165,1.0
731,164,41,0.008
732,164,401,1.0
733,164,446,0.25
734,164,667,1.0
735,164,1652,1.0
736,165,16,0.043478260869565216
737,165,166,1.0
738,165,198,1.0
739,165,465,0.5
740,165,941,0.5
741,165,1550,0.5
742,166,90,0.14285714285714285
743,166,169,0.3333333333333333
744,166,794,1.0
745,167,18,0.5
746,167,153,0.3333333333333333
747,167,170,0.3333333333333333
748,167,505,1.0
749,167,560,0.5
750,167,803,0.5
751,168,67,0.3333333333333333
752,168,342,1.0
753,168,375,0.5
754,168,477,0.3333333333333333
755,168,881,0.5
756,168,928,1.0
757,168,1225,1.0
758,168,1769,1.0
759,169,139,0.08333333333333333
760,169,171,0.5
761,169,771,0.5
762,169,930,1.0
763,169,1292,1.0
764,170,58,0.5
765,170,172,1.0
766,170,260,0.5
767,170,466,0.5
768,170,553,1.0
769,170,642,0.5
770,170,1185,0.3333333333333333
771,170,1527,1.0
772,171,176,1.0
773,171,935,0.25
774,171,1627,1.0
775,172,177,0.5
776,172,778,0.3333333333333333
777,172,998,0.2
778,173,41,0.008
779,173,150,0.2
780,173,178,0.5
781,173,1606,1.0
782,174,139,0.08333333333333333
783,175,44,0.25
784,175,213,0.5
785,175,280,0.5
786,175,529,0.5
787,175,1049,0.5
788,175,1307,0.3333333333333333
789,176,179,0.25
790,176,762,1.0
791,176,863,0.3333333333333333
792,176,1271,1.0
793,176,1394,1.0
794,176,1628,1.0
795,177,180,0.3333333333333333
796,177,304,0.125
797,178,96,0.2
798,178,181,0.3333333333333333
799,178,217,1.0
800,178,226,1.0
801,178,591,0.3333333333333333
802,179,183,1.0
803,179,966,0.5
804,179,1201,0.3333333333333333
805,179,1473,0.5
806,179,1693,1.0
807,180,184,1.0
808,180,510,1.0
809,180,546,0.5
810,180,1052,0.5
811,180,1315,1.0
812,180,1614,1.0
813,181,186,1.0
814,182,187,0.3333333333333333
815,183,188,1.0
816,183,447,0.3333333333333333
817,183,538,0.5
818,183,551,0.2
819,183,1415,1.0
820,183,1453,1.0
821,183,1612,0.5
822,184,190,1.0
823,185,192,1.0
824,185,309,0.3333333333333333
825,185,497,0.2
826,185,613,1.0
827,185,1375,1.0
828,185,1498,1.0
829,185,1782,1.0
830,186,41,0.008
831,186,193,0.058823529411764705
832,187,194,1.0
833,187,617,0.3333333333333333
834,187,892,1.0
835,187,1092,1.0
836,188,41,0.008
837,188,143,0.2
838,188,195,0.2
839,188,317,0.3333333333333333
840,188,640,0.25
841,188,897,0.5
842,189,160,0.3333333333333333
843,189,179,0.25
844,189,196,1.0
845,189,644,0.5
846,189,734,1.0
847,189,1679,1.0
848,190,197,0.2
849,191,41,0.008
850,191,199,0.16666666666666666
851,191,340,0.047619047619047616
852,191,343,0.5
853,191,776,0.3333333333333333
854,191,1252,1.0
855,191,1365,1.0
856,192,93,0.125
857,192,434,1.0
858,192,837,0.3333333333333333
859,192,1197,0.3333333333333333
860,192,1259,0.5
861,192,1351,0.5
862,192,1524,1.0
863,193,200,0.5
864,193,249,0.125
865,193,385,1.0
866,193,1208,0.5
867,194,201,0.5
868,194,490,0.3333333333333333
869,194,1037,0.5
870,194,1187,0.5
871,194,1367,1.0
872,195,127,0.25
873,195,202,0.25
874,195,302,0.5
875,195,621,0.25
876,195,831,1.0
877,195,880,0.5
878,195,1377,1.0
879,196,203,0.5
880,196,343,0.5
881,196,921,0.3333333333333333
882,196,1472,0.5
883,197,98,0.5
884,197,185,0.5
885,197,204,0.5
886,197,729,1.0
887,197,747,1.0
888,197,1516,0.5
889,198,205,0.25
890,198,982,1.0
891,198,1047,0.5
892,198,1605,0.5
893,199,206,1.0
894,199,963,0.5
895,200,5,0.3333333333333333
896,200,1305,1.0
897,201,208,1.0
898,201,209,1.0
899,201,594,0.07692307692307693
900,201,708,0.25
901,201,871,1.0
902,201,1596,1.0
903,202,25,0.14285714285714285
904,202,340,0.047619047619047616
905,203,210,0.5
906,203,443,0.5
907,203,710,1.0
908,203,1538,1.0
909,204,41,0.008
910,204,80,0.2
911,204,143,0.2
912,204,212,0.07692307692307693
913,204,927,0.5
914,204,1506,1.0
915,205,214,0.5
916,205,407,0.25
917,205,520,0.5
918,205,1130,1.0
919,205,1155,0.5
920,206,207,0.5
921,207,215,1.0
922,208,216,0.5
923,209,115,0.2
924,210,95,0.5
925,210,218,1.0
926,210,438,0.3333333333333333
927,210,537,1.0
928,210,731,0.5
929,210,1070,0.5
930,210,1682,1.0
931,211,220,0.3333333333333333
932,212,221,0.5
933,212,416,1.0
934,212,978,1.0
935,212,1702,1.0
936,213,222,0.25
937,214,193,0.058823529411764705
938,214,223,1.0
939,214,513,0.25
940,214,533,0.5
941,214,771,0.5
942,214,1288,1.0
943,214,1291,0.3333333333333333
944,215,145,0.3333333333333333
945,215,224,0.3333333333333333
946,216,225,0.5
947,216,301,0.5
948,216,558,0.25
949,217,227,1.0
950,217,325,0.25
951,217,361,1.0
952,217,920,0.3333333333333333
953,217,1109,0.5
954,218,41,0.016
955,218,228,1.0
956,218,429,0.5
957,218,459,1.0
958,218,925,0.3333333333333333
959,218,1091,1.0
960,218,1328,1.0
961,218,1430,1.0
962,219,27,0.07142857142857142
963,219,134,0.1111111111111111
964,219,229,1.0
965,220,230,1.0
966,220,264,1.0
967,220,393,0.5
968,220,590,1.0
969,221,231,1.0
970,221,969,0.3333333333333333
971,221,985,0.3333333333333333
972,222,232,0.25
973,223,41,0.008
974,223,233,1.0
975,223,449,1.0
976,223,1055,1.0
977,223,1720,1.0
978,223,1749,1.0
979,224,127,0.25
980,224,1298,0.3333333333333333
981,225,41,0.008
982,225,236,1.0
983,225,1612,0.5
984,226,237,0.5
985,227,238,1.0
986,227,462,0.3333333333333333
987,227,719,1.0
988,227,1065,0.3333333333333333
989,228,15,0.2
990,228,239,0.3333333333333333
991,228,932,0.5
992,228,1577,1.0
993,228,1767,1.0
994,229,240,0.5
995,229,511,0.2
996,229,639,0.25
997,229,724,1.0
998,229,915,0.09090909090909091
999,229,1196,1.0
1000,229,1253,1.0
1001,229,1313,0.5
1002,229,1474,0.5
1003,229,1549,1.0
1004,229,1716,0.5
1005,230,22,0.3333333333333333
1006,230,141,0.5
1007,230,241,1.0
1008,230,1184,0.5
1009,231,242,1.0
1010,232,244,0.5
1011,232,432,0.3333333333333333
1012,232,485,0.5
1013,232,749,0.5
1014,232,821,0.25
1015,232,1445,1.0
1016,233,99,0.5
1017,233,245,1.0
1018,234,79,0.3333333333333333
1019,234,246,1.0
1020,234,625,1.0
1021,234,671,0.3333333333333333
1022,234,733,1.0
1023,234,1095,1.0
1024,234,1120,0.25
1025,235,140,0.5
1026,235,143,0.2
1027,235,247,0.5
1028,235,673,0.3333333333333333
1029,235,937,0.5
1030,235,955,1.0
1031,236,248,0.3333333333333333
1032,237,41,0.008
1033,237,52,0.07692307692307693
1034,237,154,0.5
1035,237,694,1.0
1036,237,875,1.0
1037,237,1201,0.3333333333333333
1038,237,1401,1.0
1039,238,249,0.125
1040,238,472,1.0
1041,238,1218,0.5
1042,239,195,0.2
1043,239,250,0.3333333333333333
1044,239,426,0.5
1045,239,487,0.3333333333333333
1046,239,804,0.3333333333333333
1047,239,1591,1.0
1048,239,1595,0.5
1049,240,252,0.3333333333333333
1050,240,316,0.25
1051,240,1168,1.0
1052,240,1757,1.0
1053,241,253,0.5
1054,241,1260,0.25
1055,241,1294,0.5
1056,241,1610,0.5
1057,242,212,0.07692307692307693
1058,242,336,1.0
1059,242,375,0.5
1060,242,522,1.0
1061,242,1291,0.3333333333333333
1062,242,1446,0.3333333333333333
1063,242,1667,1.0
1064,243,254,0.5
1065,243,1528,1.0
1066,244,255,0.5
1067,245,256,0.5
1068,245,1029,1.0
1069,246,257,1.0
1070,246,339,0.5
1071,246,1158,0.5
1072,247,258,1.0
1073,248,259,1.0
1074,248,387,1.0
1075,248,1644,0.5
1076,249,16,0.043478260869565216
1077,249,1222,0.3333333333333333
1078,250,261,1.0
1079,250,295,0.3333333333333333
1080,250,1406,1.0
1081,250,1436,0.5
1082,250,1590,1.0
1083,251,73,0.3333333333333333
1084,252,263,1.0
1085,252,547,1.0
1086,252,1191,1.0
1087,252,1387,1.0
1088,253,122,0.3333333333333333
1089,253,425,1.0
1090,253,1077,0.3333333333333333
1091,253,1523,1.0
1092,254,265,0.5
1093,254,1160,1.0
1094,254,1330,1.0
1095,255,266,1.0
1096,255,579,1.0
1097,255,989,1.0
1098,255,1724,1.0
1099,256,225,0.5
1100,257,41,0.008
1101,257,320,0.5
1102,257,413,1.0
1103,257,454,1.0
1104,257,707,1.0
1105,258,267,1.0
1106,258,511,0.2
1107,258,1775,1.0
1108,259,40,0.09090909090909091
1109,259,108,0.25
1110,259,268,1.0
1111,259,364,0.25
1112,259,904,0.5
1113,259,1442,1.0
1114,259,1489,1.0
1115,260,41,0.008
1116,260,92,0.25
1117,260,108,0.25
1118,260,526,0.3333333333333333
1119,260,1203,1.0
1120,260,1285,1.0
1121,260,1668,1.0
1122,261,41,0.008
1123,261,269,1.0
1124,261,320,0.5
1125,261,1184,0.5
1126,261,1510,0.5
1127,261,1672,1.0
1128,262,270,1.0
1129,263,271,0.25
1130,263,283,0.3333333333333333
1131,263,635,0.5
1132,263,744,1.0
1133,263,799,0.3333333333333333
1134,263,905,0.5
1135,263,1412,1.0
1136,263,1609,0.5
1137,263,1737,1.0
1138,264,255,0.5
1139,264,272,1.0
1140,264,957,1.0
1141,265,273,1.0
1142,265,393,0.5
1143,265,430,0.5
1144,265,752,1.0
1145,265,1073,0.5
1146,266,274,0.5
1147,266,346,0.3333333333333333
1148,266,637,1.0
1149,266,824,1.0
1150,266,869,1.0
1151,266,1181,1.0
1152,266,1282,1.0
1153,267,275,1.0
1154,267,458,1.0
1155,267,572,1.0
1156,267,620,1.0
1157,267,1748,1.0
1158,268,41,0.008
1159,268,121,0.2
1160,268,282,0.5
1161,269,78,0.3333333333333333
1162,270,277,0.5
1163,270,1198,1.0
1164,271,278,0.5
1165,272,56,0.3333333333333333
1166,272,68,0.3333333333333333
1167,272,134,0.1111111111111111
1168,272,921,0.3333333333333333
1169,272,1000,0.5
1170,273,280,0.5
1171,273,681,1.0
1172,273,1711,1.0
1173,274,281,1.0
1174,274,614,0.5
1175,274,1187,0.5
1176,275,100,0.3333333333333333
1177,275,282,0.5
1178,275,804,0.3333333333333333
1179,275,1243,1.0
1180,275,1511,0.5
1181,276,134,0.1111111111111111
1182,276,284,0.3333333333333333
1183,276,356,0.5
1184,276,755,1.0
1185,276,776,0.3333333333333333
1186,276,1111,1.0
1187,276,1345,0.5
1188,276,1517,1.0
1189,276,1554,1.0
1190,277,285,1.0
1191,277,316,0.25
1192,277,1260,0.25
1193,277,1446,0.3333333333333333
1194,277,1674,1.0
1195,278,41,0.008
1196,278,108,0.25
1197,278,161,0.25
1198,278,292,1.0
1199,278,468,0.3333333333333333
1200,278,511,0.2
1201,279,287,1.0
1202,279,805,0.5
1203,279,1537,1.0
1204,280,288,1.0
1205,281,41,0.016
1206,281,91,0.5
1207,281,980,1.0
1208,282,289,1.0
1209,282,330,0.3333333333333333
1210,282,331,0.3333333333333333
1211,282,650,0.5
1212,282,971,0.5
1213,282,1499,1.0
1214,282,1766,1.0
1215,283,290,0.3333333333333333
1216,283,629,1.0
1217,283,914,0.2
